"year_quarter","Tasking_Location","base","score"
"2017 Apr to Jun","Beach/Cliff","Caernarfon",9
"2017 Apr to Jun","Beach/Cliff","Humberside",9
"2017 Apr to Jun","Beach/Cliff","Inverness",7
"2017 Apr to Jun","Beach/Cliff","Lee On Solent",9
"2017 Apr to Jun","Beach/Cliff","Lydd",24
"2017 Apr to Jun","Beach/Cliff","Newquay",21
"2017 Apr to Jun","Beach/Cliff","Prestwick",12
"2017 Apr to Jun","Beach/Cliff","St Athan",30
"2017 Apr to Jun","Beach/Cliff","Stornoway",7
"2017 Apr to Jun","Beach/Cliff","Sumburgh",0
"2017 Apr to Jun","Mountain","Caernarfon",38
"2017 Apr to Jun","Mountain","Humberside",3
"2017 Apr to Jun","Mountain","Inverness",25
"2017 Apr to Jun","Mountain","Lee On Solent",0
"2017 Apr to Jun","Mountain","Lydd",1
"2017 Apr to Jun","Mountain","Newquay",0
"2017 Apr to Jun","Mountain","Prestwick",19
"2017 Apr to Jun","Mountain","St Athan",7
"2017 Apr to Jun","Mountain","Stornoway",19
"2017 Apr to Jun","Mountain","Sumburgh",0
"2017 Apr to Jun","Other","Caernarfon",32
"2017 Apr to Jun","Other","Humberside",31
"2017 Apr to Jun","Other","Inverness",21
"2017 Apr to Jun","Other","Lee On Solent",24
"2017 Apr to Jun","Other","Lydd",12
"2017 Apr to Jun","Other","Newquay",58
"2017 Apr to Jun","Other","Prestwick",36
"2017 Apr to Jun","Other","St Athan",29
"2017 Apr to Jun","Other","Stornoway",13
"2017 Apr to Jun","Other","Sumburgh",18
"2017 Apr to Jun","Vessel","Caernarfon",7
"2017 Apr to Jun","Vessel","Humberside",15
"2017 Apr to Jun","Vessel","Inverness",7
"2017 Apr to Jun","Vessel","Lee On Solent",18
"2017 Apr to Jun","Vessel","Lydd",13
"2017 Apr to Jun","Vessel","Newquay",13
"2017 Apr to Jun","Vessel","Prestwick",13
"2017 Apr to Jun","Vessel","St Athan",10
"2017 Apr to Jun","Vessel","Stornoway",8
"2017 Apr to Jun","Vessel","Sumburgh",12
"2017 Jul to Sep","Beach/Cliff","Caernarfon",25
"2017 Jul to Sep","Beach/Cliff","Humberside",16
"2017 Jul to Sep","Beach/Cliff","Inverness",9
"2017 Jul to Sep","Beach/Cliff","Lee On Solent",26
"2017 Jul to Sep","Beach/Cliff","Lydd",21
"2017 Jul to Sep","Beach/Cliff","Newquay",46
"2017 Jul to Sep","Beach/Cliff","Prestwick",15
"2017 Jul to Sep","Beach/Cliff","St Athan",58
"2017 Jul to Sep","Beach/Cliff","Stornoway",11
"2017 Jul to Sep","Beach/Cliff","Sumburgh",1
"2017 Jul to Sep","Mountain","Caernarfon",45
"2017 Jul to Sep","Mountain","Humberside",3
"2017 Jul to Sep","Mountain","Inverness",37
"2017 Jul to Sep","Mountain","Lee On Solent",0
"2017 Jul to Sep","Mountain","Lydd",0
"2017 Jul to Sep","Mountain","Newquay",0
"2017 Jul to Sep","Mountain","Prestwick",38
"2017 Jul to Sep","Mountain","St Athan",9
"2017 Jul to Sep","Mountain","Stornoway",12
"2017 Jul to Sep","Mountain","Sumburgh",0
"2017 Jul to Sep","Other","Caernarfon",20
"2017 Jul to Sep","Other","Humberside",41
"2017 Jul to Sep","Other","Inverness",28
"2017 Jul to Sep","Other","Lee On Solent",52
"2017 Jul to Sep","Other","Lydd",24
"2017 Jul to Sep","Other","Newquay",72
"2017 Jul to Sep","Other","Prestwick",58
"2017 Jul to Sep","Other","St Athan",38
"2017 Jul to Sep","Other","Stornoway",15
"2017 Jul to Sep","Other","Sumburgh",18
"2017 Jul to Sep","Vessel","Caernarfon",1
"2017 Jul to Sep","Vessel","Humberside",10
"2017 Jul to Sep","Vessel","Inverness",2
"2017 Jul to Sep","Vessel","Lee On Solent",26
"2017 Jul to Sep","Vessel","Lydd",14
"2017 Jul to Sep","Vessel","Newquay",17
"2017 Jul to Sep","Vessel","Prestwick",12
"2017 Jul to Sep","Vessel","St Athan",12
"2017 Jul to Sep","Vessel","Stornoway",13
"2017 Jul to Sep","Vessel","Sumburgh",5
"2017 Oct to Dec","Beach/Cliff","Caernarfon",7
"2017 Oct to Dec","Beach/Cliff","Humberside",9
"2017 Oct to Dec","Beach/Cliff","Inverness",4
"2017 Oct to Dec","Beach/Cliff","Lee On Solent",16
"2017 Oct to Dec","Beach/Cliff","Lydd",24
"2017 Oct to Dec","Beach/Cliff","Newquay",15
"2017 Oct to Dec","Beach/Cliff","Prestwick",7
"2017 Oct to Dec","Beach/Cliff","St Athan",16
"2017 Oct to Dec","Beach/Cliff","Stornoway",3
"2017 Oct to Dec","Beach/Cliff","Sumburgh",0
"2017 Oct to Dec","Mountain","Caernarfon",28
"2017 Oct to Dec","Mountain","Humberside",2
"2017 Oct to Dec","Mountain","Inverness",17
"2017 Oct to Dec","Mountain","Lee On Solent",0
"2017 Oct to Dec","Mountain","Lydd",0
